map_name,nav_mode,linear_speed,mean_window,run,obstacle1_time,obstacle2_time,obstacle3_time,obstacle4_time,total_time
line_map,basic,1.0,4,1,32.6,11.6,54.7,63.9,63.9
line_map,basic,1.0,4,2,0.49,4.19,20.59,10.09,20.59
line_map,basic,1.0,4,3,0.39,22.69,4.59,76.29,76.29
line_map,basic,1.0,4,4,0.39,22.79,4.59,75.09,75.09
line_map,basic,1.0,4,5,0.39,22.79,4.59,74.99,74.99
line_map,basic,1.0,4,6,0.39,22.89,4.59,59.49,59.49
line_map,basic,1.0,4,7,0.39,22.69,4.59,75.59,75.59
line_map,basic,1.0,4,8,0.39,22.79,4.59,74.99,74.99
line_map,basic,1.0,4,9,0.39,22.69,4.59,74.99,74.99
line_map,basic,1.0,4,10,0.39,22.79,4.59,74.99,74.99
line_map,basic,1.0,2,1,0.09,100.19,4.19,27.89,100.19
line_map,basic,1.0,2,2,0.09,18.69,4.19,22.29,22.29
line_map,basic,1.0,2,3,0.09,18.69,4.19,22.29,22.29
line_map,basic,1.0,2,4,0.09,24.69,4.19,27.69,27.69
line_map,basic,1.0,2,5,0.09,100.49,4.19,27.89,100.49
line_map,basic,1.0,2,6,0.09,100.49,4.19,27.89,100.49
line_map,basic,1.0,2,7,0.09,24.69,4.19,27.69,27.69
line_map,basic,1.0,2,8,0.09,18.49,4.19,22.29,22.29
line_map,basic,1.0,2,9,0.09,18.69,4.19,22.29,22.29
line_map,basic,1.0,2,10,0.09,24.69,4.19,27.69,27.69
line_map,basic,0.5,4,1,0.69,40.69,9.09,218.49,218.49
line_map,basic,0.5,4,2,0.69,40.59,9.09,160.59,160.59
line_map,basic,0.5,4,3,0.69,40.59,9.09,161.39,161.39
line_map,basic,0.5,4,4,0.69,40.69,9.09,163.89,163.89
line_map,basic,0.5,4,5,0.69,40.39,9.09,189.79,189.79
line_map,basic,0.5,4,6,0.69,40.59,9.09,134.59,134.59
line_map,basic,0.5,4,7,0.69,40.19,9.09,144.49,144.49
line_map,basic,0.5,4,8,0.69,40.49,9.09,160.69,160.69
line_map,basic,0.5,4,9,0.69,40.59,9.09,190.49,190.49
line_map,basic,0.5,4,10,0.69,40.69,9.09,189.69,189.69
line_map,basic,0.5,2,1,0.09,79.19,8.19,170.19,170.19
line_map,basic,0.5,2,2,0.09,79.09,8.19,170.19,170.19
line_map,basic,0.5,2,3,0.09,78.99,8.19,141.99,141.99
line_map,basic,0.5,2,4,0.09,67.69,8.19,132.09,132.09
line_map,basic,0.5,2,5,0.09,79.09,8.19,170.09,170.09
line_map,basic,0.5,2,6,0.09,79.09,8.19,170.29,170.29
