map_name,nav_mode,linear_speed,mean_window,run,obstacle1_time,obstacle2_time,obstacle3_time,obstacle4_time,total_time
default,basic,1.0,4,1,84.6,11.2,33.0,24.6,84.6
default,basic,1.0,4,2,0.19,22.39,4.59,84.99,84.99
default,basic,1.0,4,3,0.09,22.39,4.59,84.49,84.49
default,basic,1.0,4,4,0.09,22.39,4.59,84.59,84.59
default,basic,1.0,4,5,0.09,22.39,4.59,84.49,84.49
default,basic,1.0,4,6,0.09,22.39,4.59,84.59,84.59
default,basic,1.0,4,7,0.09,22.39,4.59,84.49,84.49
default,basic,1.0,4,8,0.09,22.39,4.59,84.49,84.49
default,basic,1.0,4,9,0.09,22.39,4.59,84.69,84.69
default,basic,1.0,4,10,0.09,22.39,4.59,84.49,84.49
default,basic,1.0,2,1,0.09,18.49,4.19,22.29,22.29
default,basic,1.0,2,2,0.09,59.79,4.19,27.89,59.79
default,basic,1.0,2,3,0.19,3.59,20.09,9.59,20.09
default,basic,1.0,2,4,0.19,60.59,4.19,27.59,60.59
default,basic,1.0,2,5,0.19,18.59,4.19,23.39,23.39
default,basic,1.0,2,6,0.09,24.49,4.19,27.99,27.99
default,basic,1.0,2,7,0.09,59.79,4.19,27.89,59.79
default,basic,1.0,2,8,0.19,18.59,4.19,23.39,23.39
default,basic,1.0,2,9,0.09,18.89,4.19,21.99,21.99
default,basic,1.0,2,10,0.09,24.69,4.19,27.69,27.69
default,basic,0.5,4,1,0.09,39.79,9.09,195.89,195.89
default,basic,0.5,4,2,0.09,39.79,9.09,196.19,196.19
default,basic,0.5,4,3,0.09,39.79,9.09,195.89,195.89
default,basic,0.5,4,4,0.09,39.59,9.09,194.89,194.89
default,basic,0.5,4,5,0.09,39.79,9.09,196.19,196.19
default,basic,0.5,4,6,0.09,39.79,9.09,195.89,195.89
default,basic,0.5,4,7,0.09,39.69,9.09,150.99,150.99
default,basic,0.5,4,8,0.09,39.79,9.09,195.89,195.89
default,basic,0.5,4,9,0.09,39.79,9.09,150.09,150.09
default,basic,0.5,4,10,0.09,39.79,9.09,196.69,196.69
default,basic,0.5,2,1,0.09,80.59,8.19,51.09,80.59
default,basic,0.5,2,2,0.19,80.79,8.19,51.19,80.79
default,basic,0.5,2,3,0.19,80.59,8.19,51.19,80.59
default,basic,0.5,2,4,0.19,80.59,8.19,51.19,80.59
default,basic,0.5,2,5,0.19,80.79,8.19,51.19,80.79
default,basic,0.5,2,6,0.19,80.79,8.19,51.19,80.79
default,basic,0.5,2,7,0.19,80.79,8.19,51.19,80.79
default,basic,0.5,2,8,0.19,80.79,8.19,51.19,80.79
default,basic,0.5,2,9,0.19,80.59,8.19,50.99,80.59
default,basic,0.5,2,10,0.19,80.79,8.19,51.19,80.79
default,basic,2.0,4,1,0.19,2.59,12.39,6.09,12.39
default,basic,2.0,4,2,0.19,2.59,12.39,6.09,12.39
default,basic,2.0,4,3,0.19,2.59,12.39,6.09,12.39
default,basic,2.0,4,4,0.19,2.59,12.39,6.09,12.39
default,basic,2.0,4,5,0.19,2.59,12.39,6.09,12.39
default,basic,2.0,4,6,0.19,2.59,12.39,6.09,12.39
default,basic,2.0,4,7,0.19,2.59,12.39,6.09,12.39
default,basic,2.0,4,8,0.19,2.59,12.39,6.09,12.39
default,basic,2.0,4,9,0.19,2.59,12.39,6.09,12.39
default,basic,2.0,4,10,0.19,2.59,12.39,6.09,12.39
default,basic,2.0,2,1,0.19,2.39,12.39,5.89,12.39
default,basic,2.0,2,2,0.19,2.39,12.39,5.89,12.39
default,basic,2.0,2,3,0.19,2.39,12.39,5.89,12.39
default,basic,2.0,2,4,0.19,2.39,12.39,5.89,12.39
default,basic,2.0,2,5,0.19,2.39,12.39,5.89,12.39
default,basic,2.0,2,6,0.19,2.39,12.39,5.89,12.39
default,basic,2.0,2,7,0.19,2.39,12.39,5.89,12.39
