map_name,nav_mode,linear_speed,mean_window,run,obstacle1_time,obstacle2_time,obstacle3_time,obstacle4_time,total_time
x_map,basic,1.0,4,1,29.9,9.2,67.2,24.3,67.2
x_map,basic,1.0,4,2,0.59,364.99,38.29,81.19,364.99
x_map,basic,1.0,4,3,0.59,182.89,7.19,17.49,182.89
x_map,basic,1.0,4,4,0.59,77.09,170.39,24.59,170.39
x_map,basic,1.0,4,5,0.59,6.39,50.59,11.09,50.59
x_map,basic,1.0,4,6,0.59,7.49,33.49,221.99,221.99
x_map,basic,1.0,4,7,0.59,17.69,134.69,35.69,134.69
x_map,basic,1.0,4,8,0.59,110.49,18.19,9.59,110.49
x_map,basic,1.0,4,9,0.59,21.39,305.49,69.09,305.49
x_map,basic,1.0,4,10,0.59,47.59,15.19,39.59,47.59
x_map,basic,1.0,2,1,0.19,19.89,4.19,14.09,19.89
x_map,basic,1.0,2,2,0.19,222.79,10.19,50.59,222.79
x_map,basic,1.0,2,3,0.19,195.79,36.29,90.69,195.79
x_map,basic,1.0,2,4,0.09,70.69,4.19,64.29,70.69
x_map,basic,1.0,2,5,0.19,19.49,4.19,15.39,19.49
x_map,basic,1.0,2,6,0.19,134.59,4.19,19.09,134.59
x_map,basic,1.0,2,7,0.09,172.29,4.19,53.49,172.29
x_map,basic,1.0,2,8,0.19,152.49,4.19,65.09,152.49
x_map,basic,1.0,2,9,0.09,156.59,4.19,26.29,156.59
x_map,basic,1.0,2,10,0.19,26.89,4.19,16.09,26.89
x_map,basic,0.5,4,1,1.09,6.89,506.79,83.49,506.79
x_map,basic,0.5,4,2,1.09,220.19,165.69,19.09,220.19
x_map,basic,0.5,4,3,1.09,121.49,14.19,28.79,121.49
x_map,basic,0.5,4,4,1.09,511.29,28.89,245.79,511.29
x_map,basic,0.5,4,5,1.09,70.99,509.79,79.89,509.79
x_map,basic,0.5,4,6,1.09,139.09,120.09,92.29,139.09
x_map,basic,0.5,4,7,1.19,13.59,64.79,203.79,203.79
x_map,basic,0.5,4,8,1.19,48.89,10.09,84.29,84.29
x_map,basic,0.5,4,9,1.09,36.69,128.09,320.99,320.99
x_map,basic,0.5,4,10,1.09,92.69,356.49,155.39,356.49
x_map,basic,0.5,2,1,0.19,37.39,8.19,25.19,37.39
x_map,basic,0.5,2,2,0.19,102.79,8.19,41.89,102.79
x_map,basic,0.5,2,3,0.19,48.49,8.19,56.69,56.69
x_map,basic,0.5,2,4,0.09,118.39,8.19,47.39,118.39
x_map,basic,0.5,2,5,0.19,243.89,8.19,33.39,243.89
x_map,basic,0.5,2,6,0.09,85.29,8.19,77.89,85.29
x_map,basic,0.5,2,7,0.19,255.39,8.19,20.79,255.39
x_map,basic,0.5,2,8,0.09,62.39,8.19,27.69,62.39
x_map,basic,0.5,2,9,0.09,389.69,8.19,41.69,389.69
x_map,basic,0.5,2,10,0.19,112.19,8.19,53.99,112.19
x_map,basic,2.0,4,1,0.39,52.59,24.59,49.39,52.59
x_map,basic,2.0,4,2,0.39,22.49,28.19,18.19,28.19
x_map,basic,2.0,4,3,0.39,83.69,3.39,20.09,83.69
x_map,basic,2.0,4,4,0.39,16.99,3.49,8.79,16.99
x_map,basic,2.0,4,5,0.39,20.59,84.29,35.29,84.29
x_map,basic,2.0,4,6,0.39,14.09,39.09,79.59,79.59
x_map,basic,2.0,4,7,0.39,23.19,5.59,25.49,25.49
x_map,basic,2.0,4,8,0.39,87.79,42.39,34.59,87.79
x_map,basic,2.0,4,9,0.39,208.29,14.79,5.39,208.29
x_map,basic,2.0,4,10,0.39,40.19,23.89,60.69,60.69
x_map,basic,2.0,2,1,0.09,39.39,2.19,79.99,79.99
x_map,basic,2.0,2,2,0.09,24.99,2.19,109.69,109.69
x_map,basic,2.0,2,3,0.09,14.49,2.19,106.29,106.29
x_map,basic,2.0,2,4,0.19,11.39,82.19,13.49,82.19
x_map,basic,2.0,2,5,0.19,23.39,48.29,15.99,48.29
x_map,basic,2.0,2,6,0.09,101.39,2.19,18.99,101.39
x_map,basic,2.0,2,7,0.09,132.99,2.19,50.49,132.99
x_map,basic,2.0,2,8,0.09,84.79,2.19,15.59,84.79
x_map,basic,2.0,2,9,0.19,94.89,5.69,38.49,94.89
x_map,basic,2.0,2,10,0.09,12.49,2.19,10.89,12.49
x_map,improved,1.0,4,1,0.59,34.59,57.09,48.99,57.09
x_map,improved,1.0,4,2,0.59,32.59,96.09,105.79,105.79
x_map,improved,1.0,4,3,0.59,32.59,85.09,77.59,85.09
x_map,improved,1.0,4,4,0.59,32.59,96.19,105.99,105.99
x_map,improved,1.0,4,5,0.59,32.59,97.49,109.79,109.79
x_map,improved,1.0,4,6,0.59,32.59,96.09,105.69,105.69
x_map,improved,1.0,4,7,0.59,32.59,78.59,211.09,211.09
x_map,improved,1.0,4,8,0.59,34.49,56.99,49.49,56.99
